sourceType,platformId,platformLabel,date,region,channel,sourceChannel,merchant,rawMerchant,brand,product,rawProduct,activityName,activityGmv,subsidy,orderId
bill,taobao,淘宝闪购,2026-06-08,华中-湖南,酒小二,酒类专营店,酒小二,酒小二(永州杨家园店),重庆啤酒,重庆88啤酒468ml瓶装12箱装,重庆88啤酒468ml瓶装12箱装,嘉士伯_满减券_6月华中加持品牌券满79-20,94.0,13.33,4010896171959987716
bill,taobao,淘宝闪购,2026-06-08,华中-湖南,酒小二,酒类专营店,酒小二,酒小二(永州杨家园店),重庆啤酒,重庆88啤酒468ml瓶装12箱装,重庆88啤酒468ml瓶装12箱装,嘉士伯_满减券_6月华中加持品牌券满79-20,47.0,6.67,4010896171959987716
bill,taobao,淘宝闪购,2026-06-08,CIB华南,酒小二,酒类专营店,酒小二,酒小二(深圳沙头角店),K1664,1664桃红500ml罐装6罐装,乐堡 啤酒330ml*24,6月嘉士伯超级品牌券59-20新供给,79.0,12.0,4010986171599088242
bill,taobao,淘宝闪购,2026-06-08,CBC-CQ,永辉,连锁超市,永辉超市,永辉线上超市(嘉和广场店),乐堡,乐堡啤酒500ml大罐装12箱装,乐堡 啤酒500ml大罐装12箱装,嘉士伯_满减券_6月品牌加持满59-10全渠道,65.9,10.0,4011010338030242317
bill,taobao,淘宝闪购,2026-06-08,华中-非湖南,酒小二,酒类专营店,酒小二,酒小二(麻江金桂园店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,【品牌联盟券】6月深夜小酒馆38-8,69.0,8.0,4011090338003810900
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(临沧南天路店),大理啤酒,大理V8啤酒470ml瓶装12箱装,大理V8啤酒470ml瓶装12箱装,【品牌联盟券】6月深夜小酒馆38-8,55.0,8.0,4011120338199182944
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(石屏屏阳路店),大理啤酒,大理V8啤酒500ml罐装,大理V8啤酒500ml罐装,【品牌联盟券】6月深夜小酒馆38-8,53.0,8.0,4011140338402382430
bill,taobao,淘宝闪购,2026-06-08,CIB华南,酒小二,酒类专营店,酒小二,酒小二(东莞南城店),乌苏,红乌苏500ml大罐装12箱装,红乌苏啤酒500ml*12罐/箱,6月嘉士伯超级品牌券79-30新供给,85.0,15.0,4011170338077144695
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24H超市(兴化兴临路店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满59-10全渠道,72.0,10.0,4011200337987864085
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,惠宜选,仓店,惠宜选,共橙一站式超市(泗县东方明珠店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满59-10全渠道,64.8,10.0,4011210338030541341
